review_item_id,recipe_id,source_candidate_edge,source_card_id,target_card_id,manual_repair_package_id,manual_review_card_ids,manual_replacement_card_ids,grade_profile_package_id,grade_added_card_ids,grade_removed_card_ids,grade_counts_after,g_zone_package_id,g_zone_future_work_count,recommended_reviewer_action
m49_01_m48_recipe_001_repair_review,m48_recipe_001,G-CMB01-003TH->G-TD02-004TH,G-CMB01-003TH,G-TD02-004TH,m48_recipe_001_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_001_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH|G-BT01-010TH|G-BT01-045TH,G-BT01-022TH|G-BT01-044TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_001_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_002_repair_review,m48_recipe_002,G-CMB01-003TH->G-TD11-002TH,G-CMB01-003TH,G-TD11-002TH,m48_recipe_002_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_002_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH|G-BT01-010TH|G-BT01-045TH,G-BT01-022TH|G-BT01-044TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_002_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_003_repair_review,m48_recipe_003,G-CMB01-028TH->G-BT01-045TH,G-CMB01-028TH,G-BT01-045TH,m48_recipe_003_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_003_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH,G-BT01-010TH|G-BT01-023TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_003_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_004_repair_review,m48_recipe_004,G-BT14-006TH->G-BT01-045TH,G-BT14-006TH,G-BT01-045TH,m48_recipe_004_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_004_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH,G-BT01-010TH|G-BT01-022TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_004_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_005_repair_review,m48_recipe_005,G-CHB01-004TH->G-BT02-044TH,G-CHB01-004TH,G-BT02-044TH,m48_recipe_005_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_005_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH,G-BT01-010TH|G-BT01-022TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_005_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_006_repair_review,m48_recipe_006,G-CMB01-003TH->G-BT01-045TH,G-CMB01-003TH,G-BT01-045TH,m48_recipe_006_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_006_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH,G-BT01-010TH|G-BT01-022TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_006_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_007_repair_review,m48_recipe_007,G-BT08-025TH->G-BT01-048TH,G-BT08-025TH,G-BT01-048TH,m48_recipe_007_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_007_grade_profile_pkg_001,G-BT01-049TH|G-BT01-010TH|G-BT01-045TH,G-BT01-024TH|G-BT01-011TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_007_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_008_repair_review,m48_recipe_008,G-BT08-025TH->G-BT06-024TH,G-BT08-025TH,G-BT06-024TH,m48_recipe_008_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_008_grade_profile_pkg_001,G-BT01-049TH,G-BT01-010TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_008_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_009_repair_review,m48_recipe_009,G-BT08-025TH->G-BT08-048TH,G-BT08-025TH,G-BT08-048TH,m48_recipe_009_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_009_grade_profile_pkg_001,G-BT01-049TH|G-BT01-010TH|G-BT01-045TH,G-BT01-024TH|G-BT01-011TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_009_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_010_repair_review,m48_recipe_010,G-BT08-025TH->G-CMB01-013TH,G-BT08-025TH,G-CMB01-013TH,m48_recipe_010_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_010_grade_profile_pkg_001,G-BT01-049TH|G-BT01-010TH|G-BT01-045TH,G-BT01-022TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_010_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
