item_type,item_id,anchor_or_card_id,review_priority,review_reasons,blocked_until,recommended_next_action
accepted_seed,seed_001,BT04-078TH,P1_confirm_before_recipe,accepted_by_static_review;requires_human_acceptance_before_runtime_or_recipe_promotion,human_acceptance;deck_recipe_validator;combo_line_to_recipe_consistency_check,confirm_or_demote_before_m36_02_recipe_draft
rejected_line,line_001,BT04-038TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_002,EB04-017TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_004,BT01-028TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_005,EB04-016TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_006,TD03-003TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_007,EB04-008TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_008,TD03-001TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_009,BT01-032TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_010,EB01-020TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_011,EB04-034TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_012,EB04-035TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_013,TD03-005TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_014,BT06-099TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_015,EB04-021TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_016,BT02-018TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_017,BT09-075TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_018,EB04-004TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_019,BT04-076TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_020,BT04-019TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_021,BT09-072TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_022,EB04-009TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_023,EB04-023TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_024,TD03-008TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
rejected_line,line_025,BT02-072TH,P2_support_gap_review,unresolved_support_gap,support_gap_resolved;human_acceptance;deck_recipe_validator,resolve_support_gap_or_keep_rejected
manual_review_card,BT04-039TH,BT04-039TH,P1_semantic_gap_review,unmapped_feature_tags,semantic_mapping_reviewed;fixture_added_if_needed;human_acceptance,map_or_defer_unmapped_feature_tags
manual_review_card,BT04-075TH,BT04-075TH,P1_semantic_gap_review,unmapped_feature_tags,semantic_mapping_reviewed;fixture_added_if_needed;human_acceptance,map_or_defer_unmapped_feature_tags
manual_review_card,BT06-098TH,BT06-098TH,P1_semantic_gap_review,unmapped_feature_tags,semantic_mapping_reviewed;fixture_added_if_needed;human_acceptance,map_or_defer_unmapped_feature_tags
manual_review_card,BT06-100TH,BT06-100TH,P1_semantic_gap_review,unmapped_feature_tags,semantic_mapping_reviewed;fixture_added_if_needed;human_acceptance,map_or_defer_unmapped_feature_tags
manual_review_card,BT06-101TH,BT06-101TH,P1_semantic_gap_review,unmapped_feature_tags,semantic_mapping_reviewed;fixture_added_if_needed;human_acceptance,map_or_defer_unmapped_feature_tags
manual_review_card,BT09-074TH,BT09-074TH,P1_semantic_gap_review,unmapped_feature_tags,semantic_mapping_reviewed;fixture_added_if_needed;human_acceptance,map_or_defer_unmapped_feature_tags
