order,review_item_id,recipe_id,source_candidate_edge,preflight_passed,generator_accepted,would_be_ready_for_m57_03,would_record_human_selection,would_record_human_acceptance,would_record_g_zone_decision,would_allow_runtime_promotion,error_code,error_message
1,m57_01_m56_recipe_001_repair_review,m56_recipe_001,G-BT12-062TH->G-BT12-066TH,True,True,True,True,False,False,False,,
2,m57_01_m56_recipe_002_repair_review,m56_recipe_002,G-BT10-026TH->G-BT09-058TH,True,True,True,True,False,False,False,,
3,m57_01_m56_recipe_003_repair_review,m56_recipe_003,G-BT10-026TH->G-BT09-060TH,True,True,True,True,False,False,False,,
4,m57_01_m56_recipe_004_repair_review,m56_recipe_004,G-BT10-026TH->G-BT09-062TH,True,True,True,True,False,False,False,,
5,m57_01_m56_recipe_005_repair_review,m56_recipe_005,G-BT10-026TH->G-BT12-031TH,True,True,True,True,False,False,False,,
6,m57_01_m56_recipe_006_repair_review,m56_recipe_006,G-BT10-026TH->G-BT12-065TH,True,True,True,True,False,False,False,,
7,m57_01_m56_recipe_007_repair_review,m56_recipe_007,G-BT10-026TH->G-TD10-010TH,True,True,True,True,False,False,False,,
8,m57_01_m56_recipe_008_repair_review,m56_recipe_008,G-BT12-062TH->G-BT09-058TH,True,True,True,True,False,False,False,,
9,m57_01_m56_recipe_009_repair_review,m56_recipe_009,G-BT12-062TH->G-BT09-060TH,True,True,True,True,False,False,False,,
10,m57_01_m56_recipe_010_repair_review,m56_recipe_010,G-BT12-062TH->G-BT09-062TH,True,True,True,True,False,False,False,,
11,m57_01_m56_recipe_011_repair_review,m56_recipe_011,G-BT12-062TH->G-BT12-065TH,True,True,True,True,False,False,False,,
12,m57_01_m56_recipe_012_repair_review,m56_recipe_012,G-BT12-062TH->G-TD10-010TH,True,True,True,True,False,False,False,,
