item_type,item_id,source_card_id,target_card_id,review_priority,status,net_score,review_reasons,blocked_until,recommended_next_action
fixture_note,classic_core_second_slice_valid_minimal,,,P0_fixture_policy_evidence,,,fixture_expectation_met,fixture_expectations_met;offline_recipe_packet_reviewed,use_as_second_slice_policy_evidence
fixture_note,classic_core_second_slice_short_main,,,P2_negative_fixture_evidence,,,fixture_expectation_met,fixture_expectations_met;offline_recipe_packet_reviewed,use_as_second_slice_policy_evidence
fixture_note,classic_core_second_slice_bad_trigger_count,,,P2_negative_fixture_evidence,,,fixture_expectation_met,fixture_expectations_met;offline_recipe_packet_reviewed,use_as_second_slice_policy_evidence
fixture_note,classic_core_second_slice_missing_grade_3_setup,,,P2_negative_fixture_evidence,,,fixture_expectation_met,fixture_expectations_met;offline_recipe_packet_reviewed,use_as_second_slice_policy_evidence
fixture_note,classic_core_second_slice_copy_limit_exceeded,,,P2_negative_fixture_evidence,,,fixture_expectation_met,fixture_expectations_met;offline_recipe_packet_reviewed,use_as_second_slice_policy_evidence
fixture_note,classic_core_second_slice_identity_mismatch,,,P2_negative_fixture_evidence,,,fixture_expectation_met,fixture_expectations_met;offline_recipe_packet_reviewed,use_as_second_slice_policy_evidence
manual_review_card,BT05-019TH,BT05-019TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_added_if_needed;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,BT07-095TH,BT07-095TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_added_if_needed;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,BT07-096TH,BT07-096TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_added_if_needed;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,BT09-003TH,BT09-003TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_added_if_needed;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,BT09-068TH,BT09-068TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_added_if_needed;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB05-004TH,EB05-004TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_added_if_needed;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,TD04-002TH,TD04-002TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_added_if_needed;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
candidate_edge,BT01-006TH->BT02-033TH,BT01-006TH,BT02-033TH,P2_candidate_edge_review,synergy,13,second_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m40_02,human_recipe_selection;deck_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m40_02_advisory_recipe_draft
candidate_edge,BT01-006TH->TD04-011TH,BT01-006TH,TD04-011TH,P2_candidate_edge_review,synergy,13,second_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m40_02,human_recipe_selection;deck_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m40_02_advisory_recipe_draft
candidate_edge,EB05-001TH->BT02-033TH,EB05-001TH,BT02-033TH,P2_candidate_edge_review,synergy,13,second_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m40_02,human_recipe_selection;deck_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m40_02_advisory_recipe_draft
candidate_edge,EB05-001TH->TD04-011TH,EB05-001TH,TD04-011TH,P2_candidate_edge_review,synergy,13,second_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m40_02,human_recipe_selection;deck_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m40_02_advisory_recipe_draft
candidate_edge,BT03-007TH->BT02-033TH,BT03-007TH,BT02-033TH,P2_candidate_edge_review,synergy,12,second_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m40_02,human_recipe_selection;deck_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m40_02_advisory_recipe_draft
candidate_edge,BT03-007TH->BT02-066TH,BT03-007TH,BT02-066TH,P2_candidate_edge_review,synergy,12,second_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m40_02,human_recipe_selection;deck_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m40_02_advisory_recipe_draft
candidate_edge,BT03-007TH->BT09-063TH,BT03-007TH,BT09-063TH,P2_candidate_edge_review,synergy,12,second_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m40_02,human_recipe_selection;deck_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m40_02_advisory_recipe_draft
candidate_edge,BT03-007TH->BT09-066TH,BT03-007TH,BT09-066TH,P2_candidate_edge_review,synergy,12,second_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m40_02,human_recipe_selection;deck_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m40_02_advisory_recipe_draft
candidate_edge,BT03-007TH->BT09-067TH,BT03-007TH,BT09-067TH,P2_candidate_edge_review,synergy,12,second_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m40_02,human_recipe_selection;deck_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m40_02_advisory_recipe_draft
candidate_edge,BT03-007TH->EB05-026TH,BT03-007TH,EB05-026TH,P2_candidate_edge_review,synergy,12,second_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m40_02,human_recipe_selection;deck_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m40_02_advisory_recipe_draft
candidate_edge,BT03-007TH->EB05-027TH,BT03-007TH,EB05-027TH,P2_candidate_edge_review,synergy,12,second_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m40_02,human_recipe_selection;deck_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m40_02_advisory_recipe_draft
candidate_edge,BT03-007TH->TD04-011TH,BT03-007TH,TD04-011TH,P2_candidate_edge_review,synergy,12,second_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m40_02,human_recipe_selection;deck_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m40_02_advisory_recipe_draft
candidate_edge,EB05-003TH->BT09-066TH,EB05-003TH,BT09-066TH,P2_candidate_edge_review,synergy,12,second_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m40_02,human_recipe_selection;deck_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m40_02_advisory_recipe_draft
candidate_edge,BT03-068TH->BT02-033TH,BT03-068TH,BT02-033TH,P2_candidate_edge_review,synergy,10,second_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m40_02,human_recipe_selection;deck_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m40_02_advisory_recipe_draft
candidate_edge,BT03-068TH->TD04-011TH,BT03-068TH,TD04-011TH,P2_candidate_edge_review,synergy,10,second_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m40_02,human_recipe_selection;deck_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m40_02_advisory_recipe_draft
