item_type,item_id,source_card_id,target_card_id,review_priority,status,net_score,review_reasons,blocked_until,recommended_next_action
fixture_scaffold_note,m44_01_fixture_scaffold,,,P0_fixture_policy_review,,,new_format_or_mechanic_fixture_scaffold;must_review_before_recipe_validator,fixture_scaffold_reviewed;m44_04_recipe_validator_uses_scaffold,confirm_fixture_scaffold_before_recipe_draft
manual_review_card,EB06-001TH,EB06-001TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB06-002TH,EB06-002TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB06-003TH,EB06-003TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB06-004TH,EB06-004TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB06-005TH,EB06-005TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB06-006TH,EB06-006TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB06-010TH,EB06-010TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB06-012TH,EB06-012TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB06-014TH,EB06-014TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB06-015TH,EB06-015TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB06-027TH,EB06-027TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB06-035TH,EB06-035TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB06-S01TH,EB06-S01TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB06-S02TH,EB06-S02TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB06-S03TH,EB06-S03TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB06-S04TH,EB06-S04TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB06-S05TH,EB06-S05TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB10-001TH-B,EB10-001TH-B,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB10-001TH-W,EB10-001TH-W,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB10-002TH-B,EB10-002TH-B,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB10-002TH-W,EB10-002TH-W,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB10-003TH-B,EB10-003TH-B,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB10-003TH-W,EB10-003TH-W,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB10-004TH-B,EB10-004TH-B,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB10-004TH-W,EB10-004TH-W,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB10-005TH-B,EB10-005TH-B,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB10-005TH-W,EB10-005TH-W,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB10-006TH-B,EB10-006TH-B,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB10-006TH-W,EB10-006TH-W,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB10-009TH-B,EB10-009TH-B,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB10-009TH-W,EB10-009TH-W,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB10-013TH-B,EB10-013TH-B,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB10-013TH-W,EB10-013TH-W,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,EB10-014TH-B,EB10-014TH-B,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
