item_type,item_id,source_card_id,target_card_id,review_priority,status,net_score,review_reasons,blocked_until,recommended_next_action
fixture_scaffold_note,m52_01_fixture_scaffold,,,P0_fixture_policy_review,,,new_format_or_mechanic_fixture_scaffold;link_joker_legion_mate_boundary_review;must_review_before_recipe_validator,fixture_scaffold_reviewed;m52_04_recipe_validator_uses_scaffold;legion_lock_manual_review_policy_confirmed,confirm_fixture_scaffold_before_recipe_draft
manual_review_card,BT14-065TH,BT14-065TH,,P1_semantic_gap_review,,,text_without_ability_type_tag,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,BT15-012TH,BT15-012TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,BT15-051TH,BT15-051TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,BT15-053TH,BT15-053TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
candidate_edge,BT14-003TH->BT12-053TH,BT14-003TH,BT12-053TH,P2_candidate_edge_review,synergy,12,fifth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m52_03,human_recipe_selection;m52_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m52_03_advisory_recipe_draft
candidate_edge,BT14-003TH->TD08-011TH,BT14-003TH,TD08-011TH,P2_candidate_edge_review,synergy,12,fifth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m52_03,human_recipe_selection;m52_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m52_03_advisory_recipe_draft
candidate_edge,BT14-003TH->TD16-006TH,BT14-003TH,TD16-006TH,P2_candidate_edge_review,synergy,12,fifth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m52_03,human_recipe_selection;m52_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m52_03_advisory_recipe_draft
candidate_edge,BT14-003TH->TD16-010TH,BT14-003TH,TD16-010TH,P2_candidate_edge_review,synergy,12,fifth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m52_03,human_recipe_selection;m52_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m52_03_advisory_recipe_draft
candidate_edge,BT14-S03TH->BT12-053TH,BT14-S03TH,BT12-053TH,P2_candidate_edge_review,synergy,12,fifth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m52_03,human_recipe_selection;m52_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m52_03_advisory_recipe_draft
candidate_edge,BT14-S03TH->TD08-011TH,BT14-S03TH,TD08-011TH,P2_candidate_edge_review,synergy,12,fifth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m52_03,human_recipe_selection;m52_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m52_03_advisory_recipe_draft
candidate_edge,BT14-S03TH->TD16-006TH,BT14-S03TH,TD16-006TH,P2_candidate_edge_review,synergy,12,fifth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m52_03,human_recipe_selection;m52_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m52_03_advisory_recipe_draft
candidate_edge,BT14-S03TH->TD16-010TH,BT14-S03TH,TD16-010TH,P2_candidate_edge_review,synergy,12,fifth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m52_03,human_recipe_selection;m52_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m52_03_advisory_recipe_draft
candidate_edge,BT10-054TH->BT14-003TH,BT10-054TH,BT14-003TH,P2_candidate_edge_review,synergy,11,fifth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m52_03,human_recipe_selection;m52_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m52_03_advisory_recipe_draft
candidate_edge,BT10-054TH->BT14-S03TH,BT10-054TH,BT14-S03TH,P2_candidate_edge_review,synergy,11,fifth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m52_03,human_recipe_selection;m52_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m52_03_advisory_recipe_draft
candidate_edge,BT14-062TH->BT14-003TH,BT14-062TH,BT14-003TH,P2_candidate_edge_review,synergy,11,fifth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m52_03,human_recipe_selection;m52_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m52_03_advisory_recipe_draft
candidate_edge,BT14-062TH->BT14-S03TH,BT14-062TH,BT14-S03TH,P2_candidate_edge_review,synergy,11,fifth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m52_03,human_recipe_selection;m52_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m52_03_advisory_recipe_draft
candidate_edge,BT14-012TH->BT10-057TH,BT14-012TH,BT10-057TH,P2_candidate_edge_review,synergy,10,fifth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m52_03,human_recipe_selection;m52_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m52_03_advisory_recipe_draft
