item_type,item_id,source_card_id,target_card_id,review_priority,status,net_score,review_reasons,blocked_until,recommended_next_action
fixture_scaffold_note,m48_01_fixture_scaffold,,,P0_fixture_policy_review,,,new_format_or_mechanic_fixture_scaffold;g_era_grade4_g_zone_boundary_review;must_review_before_recipe_validator,fixture_scaffold_reviewed;m48_04_recipe_validator_uses_scaffold;g_zone_support_decision,confirm_fixture_scaffold_before_recipe_draft
manual_review_card,G-BT01-024TH,G-BT01-024TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT06-011TH,G-BT06-011TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT06-012TH,G-BT06-012TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT06-026TH,G-BT06-026TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT06-049TH,G-BT06-049TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT08-023TH,G-BT08-023TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT08-024TH,G-BT08-024TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT14-052TH,G-BT14-052TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT14-055TH,G-BT14-055TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-CHB01-024TH,G-CHB01-024TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-LD03-004TH,G-LD03-004TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-LD03-010TH,G-LD03-010TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-LD03-014TH,G-LD03-014TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-TD11-001TH,G-TD11-001TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-TD11-006TH,G-TD11-006TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
candidate_edge,G-CMB01-003TH->G-TD02-004TH,G-CMB01-003TH,G-TD02-004TH,P2_candidate_edge_review,synergy,14,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-CMB01-003TH->G-TD11-002TH,G-CMB01-003TH,G-TD11-002TH,P2_candidate_edge_review,synergy,14,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-CMB01-028TH->G-BT01-045TH,G-CMB01-028TH,G-BT01-045TH,P2_candidate_edge_review,synergy,14,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT14-006TH->G-BT01-045TH,G-BT14-006TH,G-BT01-045TH,P2_candidate_edge_review,synergy,12,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-CHB01-004TH->G-BT02-044TH,G-CHB01-004TH,G-BT02-044TH,P2_candidate_edge_review,synergy,12,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-CMB01-003TH->G-BT01-045TH,G-CMB01-003TH,G-BT01-045TH,P2_candidate_edge_review,synergy,12,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-CMB01-003TH->G-LD03-003TH,G-CMB01-003TH,G-LD03-003TH,P2_candidate_edge_review,synergy,12,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT01-011TH->G-BT02-002TH,G-BT01-011TH,G-BT02-002TH,P2_candidate_edge_review,synergy,11,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT01-051TH->G-BT01-045TH,G-BT01-051TH,G-BT01-045TH,P2_candidate_edge_review,synergy,11,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-CHB01-053TH->G-BT01-045TH,G-CHB01-053TH,G-BT01-045TH,P2_candidate_edge_review,synergy,11,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-CMB01-031TH->G-BT02-002TH,G-CMB01-031TH,G-BT02-002TH,P2_candidate_edge_review,synergy,11,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-LD03-013TH->G-BT02-002TH,G-LD03-013TH,G-BT02-002TH,P2_candidate_edge_review,synergy,11,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT04-003TH->G-BT01-045TH,G-BT04-003TH,G-BT01-045TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT08-025TH->G-BT01-048TH,G-BT08-025TH,G-BT01-048TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT08-025TH->G-BT06-024TH,G-BT08-025TH,G-BT06-024TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT08-025TH->G-BT08-048TH,G-BT08-025TH,G-BT08-048TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT08-025TH->G-CMB01-013TH,G-BT08-025TH,G-CMB01-013TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT08-025TH->G-CMB01-014TH,G-BT08-025TH,G-CMB01-014TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT08-025TH->G-TD02-006TH,G-BT08-025TH,G-TD02-006TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT08-025TH->G-TD02-012TH,G-BT08-025TH,G-TD02-012TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT14-028TH->G-BT01-048TH,G-BT14-028TH,G-BT01-048TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT14-028TH->G-BT06-024TH,G-BT14-028TH,G-BT06-024TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT14-028TH->G-BT08-048TH,G-BT14-028TH,G-BT08-048TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT14-028TH->G-CMB01-013TH,G-BT14-028TH,G-CMB01-013TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT14-028TH->G-CMB01-014TH,G-BT14-028TH,G-CMB01-014TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT14-028TH->G-TD02-006TH,G-BT14-028TH,G-TD02-006TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-BT14-028TH->G-TD02-012TH,G-BT14-028TH,G-TD02-012TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-CHB01-011TH->G-BT01-048TH,G-CHB01-011TH,G-BT01-048TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-CHB01-011TH->G-BT06-024TH,G-CHB01-011TH,G-BT06-024TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-CHB01-011TH->G-BT08-048TH,G-CHB01-011TH,G-BT08-048TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-CHB01-011TH->G-CMB01-014TH,G-CHB01-011TH,G-CMB01-014TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-CHB01-011TH->G-TD02-006TH,G-CHB01-011TH,G-TD02-006TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-CHB01-011TH->G-TD02-012TH,G-CHB01-011TH,G-TD02-012TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
candidate_edge,G-FC04-025TH->G-BT01-048TH,G-FC04-025TH,G-BT01-048TH,P2_candidate_edge_review,synergy,10,fourth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m48_03,human_recipe_selection;m48_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m48_03_advisory_recipe_draft
