review_item_id,recipe_id,source_candidate_edge,source_card_id,target_card_id,manual_repair_package_id,manual_review_card_ids,manual_replacement_card_ids,grade_profile_package_id,grade_added_card_ids,grade_removed_card_ids,grade_counts_after,recommended_reviewer_action
m45_01_m44_recipe_001_repair_review,m44_recipe_001,EB10-007TH-B->EB06-023TH,EB10-007TH-B,EB06-023TH,m44_recipe_001_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_001_grade_profile_pkg_001,EB06-026TH|EB06-011TH|EB06-003TH,EB06-006TH|EB06-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_002_repair_review,m44_recipe_002,EB10-007TH-B->EB06-S06TH,EB10-007TH-B,EB06-S06TH,m44_recipe_002_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_002_grade_profile_pkg_001,EB06-026TH|EB06-011TH|EB06-003TH,EB06-006TH|EB06-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_003_repair_review,m44_recipe_003,EB10-007TH-W->EB06-023TH,EB10-007TH-W,EB06-023TH,m44_recipe_003_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_003_grade_profile_pkg_001,EB06-026TH|EB06-011TH|EB06-003TH,EB06-006TH|EB06-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_004_repair_review,m44_recipe_004,EB10-007TH-W->EB06-S06TH,EB10-007TH-W,EB06-S06TH,m44_recipe_004_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_004_grade_profile_pkg_001,EB06-026TH|EB06-011TH|EB06-003TH,EB06-006TH|EB06-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_005_repair_review,m44_recipe_005,EB10-S07TH-B->EB06-023TH,EB10-S07TH-B,EB06-023TH,m44_recipe_005_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_005_grade_profile_pkg_001,EB06-026TH|EB06-011TH|EB06-003TH,EB06-006TH|EB06-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_006_repair_review,m44_recipe_006,EB10-S07TH-B->EB06-S06TH,EB10-S07TH-B,EB06-S06TH,m44_recipe_006_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_006_grade_profile_pkg_001,EB06-026TH|EB06-011TH|EB06-003TH,EB06-006TH|EB06-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_007_repair_review,m44_recipe_007,EB10-S07TH-W->EB06-023TH,EB10-S07TH-W,EB06-023TH,m44_recipe_007_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_007_grade_profile_pkg_001,EB06-026TH|EB06-011TH|EB06-003TH,EB06-006TH|EB06-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_008_repair_review,m44_recipe_008,EB10-S07TH-W->EB06-S06TH,EB10-S07TH-W,EB06-S06TH,m44_recipe_008_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_008_grade_profile_pkg_001,EB06-026TH|EB06-011TH|EB06-003TH,EB06-006TH|EB06-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_009_repair_review,m44_recipe_009,EB10-026TH-B->EB06-020TH,EB10-026TH-B,EB06-020TH,m44_recipe_009_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_009_grade_profile_pkg_001,EB06-026TH|EB06-003TH,EB06-006TH|EB06-005TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_010_repair_review,m44_recipe_010,EB10-026TH-B->EB10-012TH-B,EB10-026TH-B,EB10-012TH-B,m44_recipe_010_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_010_grade_profile_pkg_001,EB06-026TH|EB06-003TH,EB06-006TH|EB06-005TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
