review_item_id,recipe_id,source_candidate_edge,source_card_id,target_card_id,grade_profile_package_id,grade_added_card_ids,grade_removed_card_ids,grade_counts_after,recommended_reviewer_action
m53_01_m52_recipe_001_repair_review,m52_recipe_001,BT14-003TH->BT12-053TH,BT14-003TH,BT12-053TH,m52_recipe_001_grade_profile_pkg_001,TD16-013TH|TD08-009TH,BT10-012TH|BT10-003TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_002_repair_review,m52_recipe_002,BT14-003TH->TD08-011TH,BT14-003TH,TD08-011TH,m52_recipe_002_grade_profile_pkg_001,TD16-013TH|TD08-004TH,BT10-003TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_003_repair_review,m52_recipe_003,BT14-003TH->TD16-006TH,BT14-003TH,TD16-006TH,m52_recipe_003_grade_profile_pkg_001,TD16-013TH|TD08-009TH,BT10-012TH|BT10-003TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_004_repair_review,m52_recipe_004,BT14-003TH->TD16-010TH,BT14-003TH,TD16-010TH,m52_recipe_004_grade_profile_pkg_001,TD16-013TH|TD08-004TH,BT10-003TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_005_repair_review,m52_recipe_005,BT14-S03TH->BT12-053TH,BT14-S03TH,BT12-053TH,m52_recipe_005_grade_profile_pkg_001,TD16-013TH|TD08-009TH,BT10-012TH|BT10-003TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_006_repair_review,m52_recipe_006,BT14-S03TH->TD08-011TH,BT14-S03TH,TD08-011TH,m52_recipe_006_grade_profile_pkg_001,TD16-013TH|TD08-004TH,BT10-003TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_007_repair_review,m52_recipe_007,BT14-S03TH->TD16-006TH,BT14-S03TH,TD16-006TH,m52_recipe_007_grade_profile_pkg_001,TD16-013TH|TD08-009TH,BT10-012TH|BT10-003TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_008_repair_review,m52_recipe_008,BT14-S03TH->TD16-010TH,BT14-S03TH,TD16-010TH,m52_recipe_008_grade_profile_pkg_001,TD16-013TH|TD08-004TH,BT10-003TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_009_repair_review,m52_recipe_009,BT10-054TH->BT14-003TH,BT10-054TH,BT14-003TH,m52_recipe_009_grade_profile_pkg_001,TD16-013TH|TD08-009TH,BT10-003TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_010_repair_review,m52_recipe_010,BT10-054TH->BT14-S03TH,BT10-054TH,BT14-S03TH,m52_recipe_010_grade_profile_pkg_001,TD16-013TH|TD08-009TH,BT10-003TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
