item_type,item_id,source_card_id,target_card_id,review_priority,status,net_score,review_reasons,blocked_until,recommended_next_action
fixture_scaffold_note,m56_01_fixture_scaffold,,,P0_fixture_policy_review,,,new_format_or_mechanic_fixture_scaffold;g_next_z_grade4_g_zone_boundary_review;shadow_paladin_ritual_retire_boundary_review;must_review_before_recipe_validator,fixture_scaffold_reviewed;m56_04_recipe_validator_uses_scaffold;g_zone_support_decision;ritual_retire_manual_review_policy_confirmed,confirm_fixture_scaffold_before_recipe_draft
manual_review_card,G-BT09-014TH,G-BT09-014TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT09-026TH,G-BT09-026TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT09-027TH,G-BT09-027TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT09-028TH,G-BT09-028TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT09-029TH,G-BT09-029TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT09-059TH,G-BT09-059TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT09-064TH,G-BT09-064TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT10-049TH,G-BT10-049TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT12-014TH,G-BT12-014TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT12-033TH,G-BT12-033TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
manual_review_card,G-BT12-068TH,G-BT12-068TH,,P1_semantic_gap_review,,,unmapped_feature_tags,semantic_mapping_reviewed;fixture_scaffold_considered;human_acceptance,map_or_defer_unmapped_feature_tags_before_recipe
candidate_edge,G-BT10-001TH->G-BT12-066TH,G-BT10-001TH,G-BT12-066TH,P2_candidate_edge_review,synergy,11,sixth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m56_03,human_recipe_selection;m56_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m56_03_advisory_recipe_draft
candidate_edge,G-BT12-062TH->G-BT12-066TH,G-BT12-062TH,G-BT12-066TH,P2_candidate_edge_review,synergy,10,sixth_slice_candidate_compatibility_edge;requires_human_recipe_selection_before_m56_03,human_recipe_selection;m56_04_recipe_validator;combo_line_to_recipe_consistency_check,consider_for_m56_03_advisory_recipe_draft
